City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,sao filipe,14.8961,-24.4956,74.16,83,14,5.46,CV,1623435162
122,richards bay,-28.783,32.0377,63.55,84,0,7.0,ZA,1623435181
123,saint-philippe,-21.3585,55.7679,72.99,82,87,18.81,RE,1623435181
124,kazachinskoye,57.6953,93.2761,42.75,68,25,4.18,RU,1623435182
125,fairbanks,64.8378,-147.7164,59.09,69,90,3.44,US,1623435182
126,souillac,-20.5167,57.5167,75.58,73,75,14.97,MU,1623435183
127,mandal,25.45,74.5667,93.2,35,15,16.64,IN,1623435183
128,mayo,38.8876,-76.5119,70.95,96,90,11.01,US,1623435183
129,kununurra,-15.7667,128.7333,51.78,82,85,0.0,AU,1623434984
130,brownsville,25.9018,-97.4975,93.9,60,20,7.0,US,1623435129
131,coahuayana,18.7333,-103.6833,89.08,48,100,7.29,MX,1623435184
132,praia da vitoria,38.7333,-27.0667,71.85,78,75,2.68,PT,1623435186
133,grindavik,63.8424,-22.4338,44.55,70,75,32.21,IS,1623435186
134,wanning,18.8003,110.3967,78.19,92,100,6.78,CN,1623435186
135,neyshabur,36.2133,58.7958,84.52,16,0,8.03,IR,1623435187
136,krutinka,56.0055,71.5113,49.24,79,49,4.65,RU,1623435187
137,mahanoro,-19.9,48.8,67.41,88,2,5.53,MG,1623435187
138,havre-saint-pierre,50.2334,-63.5986,52.16,58,90,19.57,CA,1623435188
139,srednekolymsk,67.45,153.6833,43.74,64,12,3.18,RU,1623435188
140,niksar,40.5917,36.9517,60.37,89,18,3.49,TR,1623435189
141,istisu,40.9457,48.0738,66.87,87,62,3.13,AZ,1623435189
142,paidha,2.4167,30.9855,66.43,55,24,5.57,UG,1623435190
143,tasiilaq,65.6145,-37.6368,42.96,93,100,3.27,GL,1623435190
144,agadez,19.75,10.25,95.86,10,0,5.46,NE,1623435190
145,honningsvag,70.9821,25.9704,51.55,93,75,5.75,NO,1623435191
146,nunguan,7.1283,124.6891,74.14,97,100,1.12,PH,1623435191
